ID_Cliente,Nome,Idade,Data_Cadastro,Localizacao,Genero
107,Thiago Pereira,77,2023-01-03,Braga,Feminino
108,Fernanda Ferreira,32,2024-07-05,Braga,Masculino
109,Thiago Silva,57,2023-05-10,Setúbal,Feminino
110,Gabriel Santos,49,2024-09-06,Braga,Masculino
111,Thiago Silva,62,2023-06-23,Setúbal,Feminino
112,Carlos Lima,61,2024-12-07,Setúbal,Feminino
113,Daniela Almeida,64,2023-03-10,Leiria,Masculino
114,Natália Oliveira,84,2023-02-22,Braga,Feminino
115,Otávio Almeida,52,2024-01-24,Faro,Masculino
116,Igor Nascimento,49,2023-09-01,Açores,Feminino
117,Katia Silva,81,2024-01-22,Coimbra,Feminino
118,Gabriel Rodrigues,51,2024-01-06,Braga,Feminino
119,Sara Silva,84,2024-06-07,Porto,Masculino
120,Natália Nascimento,89,2024-04-17,Leiria,Feminino
121,Otávio Silva,29,2024-02-22,Faro,Feminino
122,Helena Costa,65,2023-08-23,Madeira,Feminino
123,Natália Lima,60,2023-12-25,Leiria,Feminino
124,Juliana Costa,47,2024-08-18,Faro,Feminino
125,Daniela Lima,41,2024-06-06,Faro,Feminino
126,Igor Ferreira,85,2023-04-18,Braga,Masculino
127,Gabriel Costa,47,2023-12-16,Coimbra,Feminino
128,Ana Lima,34,2024-03-14,Lisboa,Masculino
129,Sara Costa,34,2023-03-07,Leiria,Masculino
130,Ana Ferreira,54,2023-08-27,Leiria,Feminino
131,Katia Oliveira,24,2024-04-05,Leiria,Masculino
132,Carlos Almeida,80,2024-10-05,Açores,Masculino
133,Eduardo Oliveira,90,2024-02-12,Porto,Masculino
134,Daniela Lima,71,2023-04-09,Açores,Masculino
135,Rafael Almeida,75,2023-09-23,Braga,Feminino
136,Juliana Ferreira,25,2023-04-05,Porto,Masculino
137,Gabriel Costa,28,2024-07-12,Faro,Masculino
138,Sara Santos,38,2024-12-17,Setúbal,Feminino
139,Vanessa Nascimento,55,2024-11-16,Faro,Feminino
140,Juliana Nascimento,27,2023-01-16,Faro,Feminino
141,Thiago Pereira,72,2024-08-24,Madeira,Masculino
142,Eduardo Costa,36,2024-10-07,Lisboa,Masculino
143,Juliana Ferreira,90,2024-02-28,Leiria,Masculino
144,Otávio Costa,69,2024-03-16,Madeira,Feminino
145,Otávio Santos,23,2023-10-04,Évora,Feminino
146,Ana Santos,47,2023-01-29,Açores,Masculino
147,Igor Ferreira,23,2024-06-23,Leiria,Feminino
148,Igor Oliveira,73,2023-03-10,Leiria,Masculino
149,Patrícia Rodrigues,70,2024-01-13,Évora,Masculino
150,Fernanda Rodrigues,70,2023-01-09,Leiria,Feminino
151,Mariana Lima,22,2023-09-11,Porto,Feminino
152,Igor Rodrigues,32,2023-11-02,Madeira,Masculino
153,Sara Nascimento,70,2024-10-25,Faro,Feminino
154,Vanessa Nascimento,74,2024-10-28,Faro,Feminino
155,Sara Oliveira,54,2023-09-28,Leiria,Masculino
156,Ana Ferreira,48,2022-12-24,Coimbra,Feminino
157,Sara Silva,88,2023-10-29,Porto,Masculino
158,Daniela Nascimento,33,2023-02-25,Coimbra,Feminino
159,Juliana Lima,52,2023-10-21,Leiria,Feminino
160,Helena Nascimento,88,2024-07-24,Setúbal,Masculino
161,Vanessa Lima,35,2024-10-09,Braga,Feminino
162,Katia Lima,52,2024-12-17,Braga,Feminino
163,Thiago Ferreira,80,2024-07-20,Leiria,Feminino
164,Leonardo Rodrigues,88,2023-06-12,Setúbal,Feminino
165,Katia Pereira,48,2023-05-14,Setúbal,Masculino
166,Natália Silva,58,2023-08-23,Setúbal,Feminino
167,Eduardo Nascimento,22,2024-08-12,Madeira,Feminino
168,Daniela Nascimento,30,2023-06-30,Leiria,Masculino
169,Eduardo Almeida,37,2024-10-04,Leiria,Feminino
170,Katia Ferreira,68,2023-02-23,Porto,Feminino
171,Sara Almeida,58,2023-03-19,Leiria,Masculino
172,Vanessa Santos,48,2023-03-14,Braga,Masculino
173,Carlos Almeida,30,2023-03-12,Porto,Feminino
174,Fernanda Costa,21,2024-11-02,Évora,Masculino
175,Juliana Rodrigues,65,2023-10-05,Coimbra,Masculino
176,Rafael Almeida,90,2023-01-21,Coimbra,Masculino
177,Fernanda Santos,66,2023-03-26,Faro,Feminino
178,Thiago Oliveira,47,2023-09-04,Braga,Feminino
179,Igor Silva,77,2024-02-29,Madeira,Masculino
180,Carlos Nascimento,62,2023-04-28,Braga,Feminino
181,Igor Nascimento,56,2024-05-30,Setúbal,Feminino
182,Daniela Pereira,66,2023-05-14,Évora,Feminino
183,Juliana Silva,68,2024-03-13,Lisboa,Masculino
184,Vanessa Nascimento,54,2024-04-28,Açores,Feminino
185,Helena Pereira,50,2023-01-25,Coimbra,Masculino
186,Bruno Costa,74,2024-11-15,Açores,Feminino
187,Eduardo Santos,55,2024-01-20,Setúbal,Masculino
188,Gabriel Oliveira,87,2023-12-11,Madeira,Feminino
189,Fernanda Costa,79,2024-02-21,Évora,Masculino
190,Otávio Santos,36,2024-05-02,Setúbal,Feminino
191,Carlos Almeida,19,2024-03-24,Madeira,Masculino
192,Otávio Rodrigues,51,2023-05-01,Setúbal,Feminino
193,Daniela Pereira,78,2024-11-24,Açores,Feminino
194,Vanessa Pereira,26,2023-03-10,Leiria,Feminino
195,Natália Santos,35,2024-11-03,Lisboa,Feminino
196,Patrícia Santos,30,2024-04-23,Madeira,Masculino
197,Mariana Nascimento,65,2023-02-02,Madeira,Feminino
198,Thiago Oliveira,71,2023-02-18,Porto,Feminino
199,Vanessa Almeida,53,2024-11-16,Évora,Masculino
200,Otávio Nascimento,48,2023-12-14,Porto,Feminino
201,Sara Rodrigues,25,2023-11-08,Braga,Masculino
202,Daniela Nascimento,29,2023-02-10,Faro,Masculino
203,Bruno Rodrigues,49,2024-08-13,Açores,Masculino
204,Carlos Lima,44,2023-04-29,Faro,Masculino
205,Katia Oliveira,18,2024-03-11,Coimbra,Masculino
206,Sara Costa,40,2024-08-29,Lisboa,Masculino
207,Ana Rodrigues,48,2023-04-27,Évora,Masculino
208,Fernanda Costa,24,2024-08-12,Setúbal,Masculino
209,Carlos Nascimento,75,2023-12-15,Madeira,Masculino
210,Otávio Lima,46,2023-03-31,Lisboa,Feminino
211,Otávio Silva,25,2023-08-17,Setúbal,Feminino
212,Daniela Nascimento,74,2024-10-05,Porto,Feminino
213,Vanessa Oliveira,26,2024-08-12,Braga,Feminino
214,Mariana Ferreira,85,2024-02-22,Leiria,Feminino
215,Daniela Santos,88,2024-05-13,Setúbal,Feminino
216,Helena Almeida,61,2023-09-12,Setúbal,Feminino
217,Daniela Rodrigues,72,2024-02-03,Braga,Feminino
218,Eduardo Nascimento,26,2024-09-17,Porto,Masculino
219,Natália Santos,65,2024-08-08,Madeira,Masculino
220,Thiago Lima,89,2024-01-17,Porto,Feminino
221,Leonardo Almeida,24,2024-02-29,Açores,Feminino
222,Leonardo Santos,82,2024-05-16,Coimbra,Feminino
223,Helena Santos,62,2023-05-30,Évora,Masculino
224,Igor Ferreira,46,2023-10-07,Madeira,Masculino
225,Vanessa Costa,21,2024-06-18,Braga,Feminino
226,Katia Rodrigues,18,2024-06-17,Coimbra,Feminino
227,Carlos Oliveira,21,2024-09-17,Madeira,Masculino
228,Mariana Almeida,76,2024-01-05,Coimbra,Feminino
229,Juliana Rodrigues,90,2023-04-19,Porto,Masculino
230,Eduardo Oliveira,24,2023-01-29,Porto,Feminino
231,Otávio Almeida,80,2023-04-08,Leiria,Feminino
232,Igor Pereira,83,2024-08-25,Évora,Feminino
233,Daniela Costa,80,2023-06-29,Braga,Masculino
234,Helena Almeida,25,2024-12-12,Faro,Feminino
235,Gabriel Oliveira,50,2024-02-27,Évora,Masculino
236,Ana Nascimento,73,2024-06-23,Coimbra,Feminino
237,Sara Pereira,82,2023-05-27,Évora,Masculino
238,Mariana Silva,73,2024-11-30,Leiria,Masculino
239,Katia Ferreira,72,2023-05-12,Setúbal,Feminino
240,Juliana Santos,69,2024-11-28,Évora,Masculino
241,Vanessa Nascimento,64,2024-09-20,Setúbal,Masculino
242,Helena Almeida,69,2023-07-02,Porto,Feminino
243,Juliana Rodrigues,46,2024-01-13,Coimbra,Masculino
244,Rafael Santos,85,2023-07-16,Faro,Feminino
245,Leonardo Oliveira,48,2024-09-05,Coimbra,Feminino
246,Gabriel Oliveira,37,2023-02-17,Porto,Masculino
247,Patrícia Nascimento,90,2023-05-06,Leiria,Feminino
248,Katia Oliveira,74,2024-10-11,Leiria,Feminino
249,Juliana Costa,25,2023-12-25,Madeira,Masculino
250,Juliana Nascimento,75,2024-11-11,Lisboa,Feminino
251,Juliana Santos,29,2023-03-31,Açores,Feminino
252,Otávio Ferreira,88,2024-11-07,Leiria,Masculino
253,Katia Ferreira,78,2023-07-25,Coimbra,Masculino
254,Otávio Santos,61,2024-09-24,Madeira,Masculino
255,Bruno Pereira,74,2023-09-27,Madeira,Masculino
256,Leonardo Rodrigues,54,2023-11-19,Setúbal,Feminino
257,Vanessa Silva,60,2024-10-13,Évora,Masculino
258,Sara Almeida,54,2024-04-05,Açores,Masculino
259,Katia Santos,36,2023-12-27,Braga,Feminino
260,Eduardo Ferreira,28,2024-02-06,Madeira,Feminino
261,Katia Oliveira,85,2024-09-15,Setúbal,Feminino
262,Ana Rodrigues,57,2024-06-18,Faro,Feminino
263,Patrícia Pereira,46,2024-08-01,Coimbra,Masculino
264,Juliana Santos,82,2023-06-16,Madeira,Masculino
265,Katia Ferreira,34,2023-04-18,Setúbal,Masculino
266,Fernanda Oliveira,39,2023-09-28,Lisboa,Feminino
267,Leonardo Pereira,74,2023-04-04,Braga,Feminino
268,Helena Lima,48,2024-02-07,Leiria,Masculino
269,Leonardo Ferreira,74,2023-09-04,Braga,Feminino
270,Rafael Lima,71,2024-07-07,Faro,Masculino
271,Igor Silva,79,2023-12-05,Madeira,Masculino
272,Rafael Santos,54,2024-09-25,Coimbra,Feminino
273,Otávio Lima,36,2023-09-29,Porto,Masculino
274,Otávio Rodrigues,21,2023-10-22,Lisboa,Feminino
275,Rafael Rodrigues,48,2023-11-20,Porto,Feminino
276,Helena Silva,58,2024-09-09,Évora,Masculino
277,Eduardo Silva,54,2023-08-24,Coimbra,Feminino
278,Otávio Ferreira,18,2024-09-29,Lisboa,Feminino
279,Gabriel Oliveira,88,2023-04-06,Madeira,Feminino
280,Daniela Costa,48,2024-02-15,Porto,Masculino
281,Helena Almeida,76,2024-10-16,Porto,Feminino
282,Vanessa Lima,20,2023-03-13,Madeira,Masculino
283,Eduardo Costa,72,2024-12-18,Açores,Feminino
284,Helena Ferreira,71,2024-06-11,Porto,Feminino
285,Carlos Lima,87,2023-07-19,Madeira,Masculino
286,Mariana Nascimento,23,2023-03-10,Setúbal,Feminino
287,Igor Silva,63,2024-10-11,Évora,Masculino
288,Daniela Ferreira,60,2024-08-05,Lisboa,Feminino
289,Sara Rodrigues,40,2023-01-18,Leiria,Feminino
290,Fernanda Oliveira,26,2023-09-08,Lisboa,Feminino
291,Gabriel Silva,43,2024-11-07,Évora,Feminino
292,Rafael Almeida,87,2023-08-23,Braga,Masculino
293,Gabriel Costa,63,2024-11-01,Évora,Feminino
294,Daniela Rodrigues,73,2023-11-06,Leiria,Feminino
295,Katia Oliveira,81,2023-01-11,Leiria,Feminino
296,Rafael Costa,28,2023-10-12,Porto,Feminino
297,Vanessa Oliveira,87,2024-02-23,Évora,Masculino
298,Carlos Rodrigues,55,2024-02-10,Leiria,Feminino
299,Fernanda Nascimento,62,2023-09-19,Lisboa,Feminino
300,Vanessa Almeida,53,2023-03-06,Lisboa,Masculino
301,Mariana Rodrigues,83,2023-01-24,Coimbra,Masculino
302,Eduardo Ferreira,74,2024-11-14,Coimbra,Masculino
303,Helena Rodrigues,64,2023-11-23,Açores,Masculino
304,Vanessa Oliveira,75,2023-12-06,Évora,Feminino
305,Carlos Ferreira,35,2023-06-26,Évora,Feminino
306,Katia Costa,49,2024-08-25,Lisboa,Masculino
307,Patrícia Lima,67,2023-05-24,Porto,Feminino
308,Igor Nascimento,45,2023-04-03,Braga,Feminino
309,Gabriel Santos,35,2024-10-05,Leiria,Masculino
310,Otávio Santos,58,2023-02-05,Évora,Masculino
311,Sara Lima,55,2024-02-16,Coimbra,Masculino
312,Leonardo Lima,46,2024-08-17,Faro,Masculino
313,Helena Nascimento,21,2023-12-16,Madeira,Feminino
314,Otávio Lima,34,2023-04-03,Porto,Masculino
315,Juliana Almeida,79,2023-06-30,Setúbal,Feminino
316,Thiago Santos,34,2024-01-30,Porto,Feminino
317,Otávio Lima,62,2024-08-10,Madeira,Masculino
318,Eduardo Almeida,82,2024-10-24,Porto,Masculino
319,Juliana Oliveira,38,2024-01-24,Faro,Feminino
320,Rafael Costa,28,2024-04-07,Faro,Feminino
321,Eduardo Costa,86,2024-09-15,Madeira,Masculino
322,Thiago Ferreira,37,2024-06-27,Açores,Feminino
323,Thiago Silva,21,2024-09-27,Lisboa,Feminino
324,Gabriel Ferreira,71,2023-03-28,Lisboa,Feminino
325,Sara Costa,56,2023-08-13,Faro,Feminino
326,Juliana Nascimento,27,2023-01-14,Lisboa,Masculino
327,Otávio Almeida,79,2023-09-01,Faro,Feminino
328,Vanessa Oliveira,58,2024-01-28,Évora,Feminino
329,Eduardo Rodrigues,83,2023-05-24,Porto,Feminino
330,Helena Nascimento,33,2024-03-21,Leiria,Masculino
331,Eduardo Santos,24,2024-02-26,Setúbal,Feminino
332,Helena Oliveira,59,2023-05-08,Évora,Masculino
333,Fernanda Nascimento,83,2023-08-29,Leiria,Feminino
334,Patrícia Silva,29,2023-11-13,Madeira,Feminino
335,Helena Pereira,63,2024-10-31,Lisboa,Feminino
336,Patrícia Ferreira,78,2024-03-02,Madeira,Masculino
337,Daniela Almeida,35,2024-03-24,Évora,Feminino
338,Leonardo Silva,69,2024-10-28,Açores,Masculino
339,Leonardo Lima,54,2024-10-05,Setúbal,Feminino
340,Sara Costa,33,2024-08-10,Porto,Feminino
341,Leonardo Rodrigues,89,2023-12-11,Coimbra,Masculino
342,Vanessa Lima,69,2023-07-26,Lisboa,Masculino
343,Bruno Oliveira,60,2023-08-22,Madeira,Feminino
344,Eduardo Ferreira,83,2024-07-29,Évora,Feminino
345,Fernanda Almeida,56,2023-04-22,Évora,Feminino
346,Thiago Costa,78,2024-12-02,Évora,Feminino
347,Daniela Almeida,57,2023-01-15,Lisboa,Feminino
348,Igor Ferreira,47,2024-10-28,Açores,Feminino
349,Fernanda Lima,66,2024-07-21,Faro,Masculino
350,Thiago Santos,42,2024-11-30,Leiria,Feminino
351,Natália Oliveira,70,2023-01-12,Faro,Feminino
352,Rafael Ferreira,78,2024-10-17,Coimbra,Masculino
353,Sara Rodrigues,79,2023-06-30,Setúbal,Feminino
354,Fernanda Nascimento,86,2024-01-04,Madeira,Feminino
355,Igor Ferreira,79,2024-06-06,Faro,Feminino
356,Sara Costa,46,2024-02-19,Braga,Masculino
357,Patrícia Rodrigues,79,2023-12-28,Madeira,Feminino
358,Juliana Santos,87,2023-11-27,Setúbal,Feminino
359,Eduardo Costa,23,2024-02-29,Porto,Feminino
360,Otávio Costa,79,2024-05-14,Faro,Feminino
361,Sara Costa,35,2024-08-30,Açores,Masculino
362,Helena Silva,85,2024-05-02,Faro,Masculino
363,Daniela Almeida,60,2023-08-24,Porto,Masculino
364,Ana Lima,38,2023-10-30,Leiria,Feminino
365,Gabriel Costa,59,2024-03-02,Lisboa,Masculino
366,Thiago Pereira,86,2024-11-11,Coimbra,Feminino
367,Fernanda Silva,68,2023-07-31,Coimbra,Feminino
368,Bruno Silva,56,2023-05-18,Açores,Masculino
369,Katia Costa,76,2023-03-04,Madeira,Feminino
370,Eduardo Lima,77,2024-03-15,Faro,Masculino
371,Katia Oliveira,76,2023-02-25,Braga,Masculino
372,Ana Rodrigues,55,2023-05-18,Faro,Masculino
373,Vanessa Almeida,72,2023-07-11,Évora,Masculino
374,Mariana Santos,41,2024-07-29,Leiria,Feminino
375,Helena Silva,51,2023-11-23,Faro,Feminino
376,Igor Rodrigues,56,2023-05-03,Açores,Masculino
377,Igor Rodrigues,48,2024-10-17,Porto,Feminino
378,Juliana Oliveira,69,2023-01-17,Madeira,Feminino
379,Daniela Costa,65,2023-03-31,Faro,Masculino
380,Eduardo Nascimento,37,2023-09-11,Açores,Feminino
381,Natália Lima,78,2023-06-18,Faro,Masculino
382,Vanessa Santos,85,2023-09-19,Madeira,Feminino
383,Carlos Ferreira,32,2024-10-17,Madeira,Masculino
384,Thiago Lima,37,2024-07-04,Évora,Feminino
385,Daniela Pereira,80,2024-09-17,Madeira,Feminino
386,Bruno Nascimento,34,2023-07-13,Setúbal,Feminino
387,Thiago Silva,89,2023-09-03,Braga,Masculino
388,Mariana Costa,18,2024-05-10,Açores,Masculino
389,Bruno Almeida,62,2023-01-02,Porto,Masculino
390,Carlos Nascimento,22,2024-03-01,Setúbal,Masculino
391,Eduardo Almeida,65,2023-11-24,Leiria,Feminino
392,Mariana Santos,87,2024-08-05,Évora,Masculino
393,Fernanda Lima,68,2023-06-27,Coimbra,Masculino
394,Ana Silva,56,2023-09-02,Madeira,Feminino
395,Sara Almeida,47,2024-04-10,Leiria,Feminino
396,Eduardo Costa,42,2024-08-26,Lisboa,Feminino
397,Vanessa Silva,48,2024-05-22,Porto,Masculino
398,Vanessa Silva,75,2023-04-17,Lisboa,Masculino
399,Bruno Almeida,74,2024-04-24,Madeira,Masculino
400,Bruno Oliveira,82,2024-02-27,Faro,Feminino
401,Thiago Ferreira,59,2024-04-21,Braga,Masculino
402,Rafael Pereira,70,2024-02-16,Braga,Masculino
403,Sara Ferreira,40,2023-03-19,Setúbal,Feminino
404,Bruno Rodrigues,66,2023-07-01,Évora,Feminino
405,Natália Oliveira,56,2023-11-30,Coimbra,Feminino
406,Helena Pereira,56,2022-12-26,Coimbra,Feminino
407,Bruno Lima,70,2023-10-20,Madeira,Masculino
408,Mariana Pereira,50,2024-05-25,Évora,Masculino
409,Otávio Rodrigues,29,2023-06-20,Faro,Masculino
410,Igor Almeida,23,2024-10-06,Faro,Masculino
411,Patrícia Pereira,60,2024-02-13,Lisboa,Masculino
412,Gabriel Santos,79,2024-04-15,Açores,Masculino
413,Mariana Pereira,88,2024-01-25,Braga,Feminino
414,Otávio Lima,63,2024-02-08,Braga,Feminino
415,Rafael Nascimento,77,2024-09-10,Leiria,Feminino
416,Gabriel Rodrigues,58,2023-10-23,Lisboa,Masculino
417,Eduardo Silva,51,2023-06-02,Açores,Feminino
418,Juliana Oliveira,43,2024-01-17,Faro,Feminino
419,Thiago Pereira,81,2023-06-05,Évora,Feminino
420,Patrícia Nascimento,76,2024-06-30,Évora,Masculino
421,Eduardo Lima,80,2024-06-14,Madeira,Masculino
422,Rafael Silva,27,2023-02-04,Lisboa,Masculino
423,Natália Oliveira,47,2024-10-11,Coimbra,Masculino
424,Gabriel Lima,76,2023-12-03,Lisboa,Feminino
425,Patrícia Silva,18,2023-06-24,Madeira,Feminino
426,Ana Silva,85,2024-03-13,Madeira,Feminino
427,Ana Lima,73,2024-06-19,Porto,Masculino
428,Rafael Oliveira,48,2024-06-06,Açores,Feminino
429,Leonardo Costa,68,2024-09-30,Évora,Feminino
430,Otávio Ferreira,49,2023-01-06,Faro,Feminino
431,Carlos Silva,29,2023-10-31,Setúbal,Feminino
432,Sara Nascimento,25,2023-03-08,Lisboa,Masculino
433,Carlos Nascimento,73,2023-02-28,Évora,Masculino
434,Rafael Silva,47,2024-05-17,Açores,Feminino
435,Igor Silva,27,2023-01-19,Braga,Masculino
436,Fernanda Rodrigues,20,2024-05-21,Açores,Masculino
437,Mariana Santos,56,2024-07-06,Açores,Masculino
438,Thiago Almeida,87,2024-01-15,Setúbal,Masculino
439,Carlos Lima,62,2024-10-26,Porto,Feminino
440,Helena Santos,61,2023-04-10,Açores,Feminino
441,Katia Silva,52,2023-09-15,Leiria,Masculino
442,Leonardo Lima,66,2023-10-04,Coimbra,Feminino
443,Carlos Ferreira,55,2024-04-11,Porto,Masculino
444,Igor Oliveira,66,2022-12-22,Coimbra,Feminino
445,Katia Rodrigues,31,2024-09-17,Lisboa,Feminino
446,Otávio Rodrigues,52,2024-09-06,Coimbra,Masculino
447,Fernanda Almeida,75,2023-05-29,Madeira,Feminino
448,Daniela Silva,29,2023-12-23,Madeira,Masculino
449,Vanessa Ferreira,59,2023-11-21,Lisboa,Feminino
450,Natália Almeida,28,2023-05-27,Faro,Masculino
451,Mariana Oliveira,35,2024-03-19,Braga,Feminino
452,Patrícia Oliveira,26,2024-07-01,Setúbal,Feminino
453,Natália Costa,79,2024-10-02,Évora,Feminino
454,Helena Nascimento,43,2023-09-08,Porto,Masculino
455,Juliana Silva,68,2024-01-14,Açores,Feminino
456,Katia Nascimento,60,2023-10-06,Açores,Masculino
457,Juliana Rodrigues,43,2023-08-17,Évora,Masculino
458,Mariana Rodrigues,55,2023-01-08,Leiria,Masculino
459,Katia Almeida,53,2023-11-13,Évora,Masculino
460,Thiago Pereira,87,2024-06-18,Madeira,Masculino
461,Otávio Pereira,74,2024-02-25,Porto,Feminino
462,Patrícia Oliveira,56,2024-04-16,Braga,Masculino
463,Natália Almeida,27,2023-09-17,Açores,Feminino
464,Thiago Almeida,86,2023-07-20,Setúbal,Masculino
465,Leonardo Lima,28,2024-08-30,Faro,Feminino
466,Fernanda Ferreira,23,2023-05-23,Setúbal,Feminino
467,Natália Santos,19,2024-09-10,Braga,Masculino
